Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
6/9/2020,23462,158,2797
6/9/2020,23464,117,2487
6/9/2020,23480,Suppressed*,20
6/9/2020,23486,Suppressed*,6
6/9/2020,23487,70,258
6/9/2020,23488,8,31
6/9/2020,23502,52,1509
6/9/2020,23503,79,1030
6/9/2020,23504,69,1253
6/9/2020,23505,50,1447
6/9/2020,23507,13,850
6/9/2020,23508,34,501
6/9/2020,23509,42,1500
6/9/2020,23510,50,644
6/9/2020,23511,Suppressed*,343
6/9/2020,23513,70,1126
6/9/2020,23517,16,185
6/9/2020,23518,82,1186
6/9/2020,23523,22,291
6/9/2020,23551,0,5
6/9/2020,23601,33,1715
6/9/2020,23602,61,1047
6/9/2020,23603,Suppressed*,75
6/9/2020,23604,Suppressed*,41
6/9/2020,23605,27,376
6/9/2020,23606,54,783
6/9/2020,23607,33,525
6/9/2020,23608,102,1181
6/9/2020,23651,Suppressed*,15
6/9/2020,23661,20,381
6/9/2020,23662,9,331
6/9/2020,23663,13,321
6/9/2020,23664,10,278
6/9/2020,23665,5,64
6/9/2020,23666,105,1527
6/9/2020,23669,69,1844
6/9/2020,23690,0,78
6/9/2020,23691,0,9
6/9/2020,23692,25,452
6/9/2020,23693,17,458
6/9/2020,23696,0,76
6/9/2020,23701,131,1351
6/9/2020,23702,27,411
6/9/2020,23703,82,1189
6/9/2020,23704,62,994
6/9/2020,23707,39,580
6/9/2020,23708,Suppressed*,308
6/9/2020,23709,0,130
6/9/2020,23801,12,166
6/9/2020,23803,172,1665
6/9/2020,23805,88,1661
6/9/2020,23806,0,4
6/9/2020,23821,Suppressed*,50
6/9/2020,23824,15,253
6/9/2020,23827,Suppressed*,54
6/9/2020,23828,Suppressed*,18
6/9/2020,23829,81,683
6/9/2020,23830,6,72
6/9/2020,23831,156,1306
6/9/2020,23832,218,1600
6/9/2020,23833,8,59
6/9/2020,23834,140,1271
6/9/2020,23836,49,469
6/9/2020,23837,52,158
6/9/2020,23838,40,484
6/9/2020,23839,Suppressed*,36
6/9/2020,23840,Suppressed*,75
6/9/2020,23841,16,137
6/9/2020,23842,15,211
6/9/2020,23843,0,11
6/9/2020,23844,Suppressed*,16
6/9/2020,23845,0,8
6/9/2020,23846,Suppressed*,30
6/9/2020,23847,301,780
6/9/2020,23850,Suppressed*,48
6/9/2020,23851,41,972
6/9/2020,23856,Suppressed*,19
6/9/2020,23857,Suppressed*,19
6/9/2020,23860,178,1683
6/9/2020,23866,7,90
6/9/2020,23867,27,118
6/9/2020,23868,23,134
6/9/2020,23872,6,92
6/9/2020,23874,0,42
6/9/2020,23875,43,472
6/9/2020,23876,0,3
6/9/2020,23878,Suppressed*,49
6/9/2020,23879,7,21
6/9/2020,23881,Suppressed*,70
6/9/2020,23882,9,90
6/9/2020,23883,Suppressed*,78
6/9/2020,23884,Suppressed*,0
6/9/2020,23885,5,95
6/9/2020,23887,Suppressed*,9
6/9/2020,23888,7,75
6/9/2020,23889,Suppressed*,17
6/9/2020,23890,83,231
6/9/2020,23891,67,141
6/9/2020,23893,Suppressed*,9
6/9/2020,23894,Suppressed*,13
6/9/2020,23897,Suppressed*,27
6/9/2020,23898,7,62
6/9/2020,23899,Suppressed*,20
6/9/2020,23901,103,789
6/9/2020,23915,Suppressed*,23
6/9/2020,23917,10,73
6/9/2020,23919,5,47
6/9/2020,23920,6,61
6/9/2020,23921,9,100
6/9/2020,23922,26,285
6/9/2020,23923,8,111
6/9/2020,23924,96,280
6/9/2020,23927,64,291
6/9/2020,23930,11,228
6/9/2020,23934,Suppressed*,43
6/9/2020,23936,437,471
6/9/2020,23937,6,102
6/9/2020,23938,0,8
6/9/2020,23942,10,70
6/9/2020,23943,0,4
6/9/2020,23944,Suppressed*,110
